,subid,condition,aoi,freq
113,LMU_732_B,fam,distractor,0.11160714285714286
114,LMU_732_B,fam,none,0.6160714285714286
115,LMU_732_B,fam,target,0.27232142857142855
116,LMU_745_A,fam,distractor,0.20253164556962025
117,LMU_745_A,fam,none,0.35443037974683544
118,LMU_745_A,fam,target,0.4430379746835443
119,LMU_761_B,fam,distractor,0.14189189189189189
120,LMU_761_B,fam,none,0.6081081081081081
121,LMU_761_B,fam,target,0.25
122,LMU_762_A,fam,distractor,0.3197424892703863
123,LMU_762_A,fam,none,0.5836909871244635
124,LMU_762_A,fam,target,0.09656652360515021
125,LMU_767_A,fam,distractor,0.18055555555555555
126,LMU_767_A,fam,none,0.22916666666666666
127,LMU_767_A,fam,target,0.5902777777777778
128,LMU_774_B,fam,distractor,0.10548523206751055
129,LMU_774_B,fam,none,0.6877637130801688
130,LMU_774_B,fam,target,0.20675105485232068
131,LMU_778_A,fam,distractor,0.22641509433962265
132,LMU_778_A,fam,none,0.4716981132075472
133,LMU_778_A,fam,target,0.3018867924528302
134,LMU_889_B,fam,distractor,0.06837606837606838
135,LMU_889_B,fam,none,0.6196581196581197
136,LMU_889_B,fam,target,0.31196581196581197
137,LMU_926_A,fam,distractor,0.2397003745318352
138,LMU_926_A,fam,none,0.42696629213483145
139,LMU_926_A,fam,target,0.3333333333333333
140,LMU_948_A,fam,distractor,0.28
141,LMU_948_A,fam,none,0.38666666666666666
142,LMU_948_A,fam,target,0.3333333333333333
143,LMU_962_A,fam,distractor,0.23660714285714285
144,LMU_962_A,fam,none,0.5669642857142857
145,LMU_962_A,fam,target,0.19642857142857142
146,LMU_995_A,fam,distractor,0.4174757281553398
147,LMU_995_A,fam,none,0.2524271844660194
148,LMU_995_A,fam,target,0.3300970873786408
0,LMU_657_A,fam,distractor,0.0
